Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,1.177190,1.195310,1.157500,1.195310,0.745237,15731200
2016-10-03,1.203280,1.230780,1.191560,1.215780,0.757999,7315200
2016-10-04,1.215780,1.236720,1.209380,1.234380,0.769596,5568000
2016-10-05,1.233120,1.265160,1.230470,1.264840,0.788587,7974400
2016-10-06,1.259530,1.292970,1.259530,1.292970,0.806125,4134400
2016-10-07,1.295310,1.328120,1.295310,1.328120,0.828040,12582400
2016-10-10,1.335940,1.414060,1.335940,1.414060,0.881620,11334400
2016-10-11,1.442190,1.458590,1.360000,1.412030,0.880355,15884800
2016-10-13,1.410160,1.418440,1.359380,1.382810,0.862137,10470400
2016-10-14,1.400940,1.429530,1.382500,1.421560,0.886297,7724800
2016-10-17,1.430470,1.439060,1.402340,1.406250,0.876751,3929600
2016-10-18,1.402340,1.426250,1.382970,1.421880,0.886496,11136000
2016-10-19,1.415160,1.437340,1.409060,1.437340,0.896135,4179200
2016-10-20,1.435160,1.441250,1.403910,1.437500,0.896234,7123200
2016-10-21,1.425160,1.454530,1.419690,1.453440,0.906173,6604800
2016-10-24,1.453440,1.544840,1.449220,1.534690,0.956829,5971200
2016-10-25,1.534530,1.565620,1.296880,1.296880,0.808563,19769600
2016-10-26,1.289060,1.289060,1.048750,1.085940,0.677048,29337600
2016-10-27,1.156250,1.432810,1.140780,1.421720,0.886396,31814400
2016-10-28,1.421090,1.460940,1.305470,1.359220,0.847429,17932800
2016-10-31,1.484380,1.512500,1.396880,1.444690,0.900717,18803200
2016-11-01,1.445310,1.460940,1.409370,1.439060,0.897207,15929600
2016-11-03,1.435620,1.453120,1.375000,1.437500,0.896234,9433600
2016-11-04,1.431250,1.452970,1.409840,1.450160,0.904128,6617600
2016-11-07,1.450000,1.481250,1.438440,1.468750,0.915718,5504000
2016-11-08,1.453120,1.483750,1.421880,1.482970,0.924584,5408000
2016-11-09,1.406250,1.531090,1.398440,1.531090,0.954585,11692800
2016-11-10,1.530940,1.546250,1.428750,1.481720,0.923804,8659200
2016-11-11,1.460940,1.513280,1.428280,1.480160,0.922832,5932800
2016-11-14,1.500000,1.500000,1.438280,1.439060,0.897207,3603200
2016-11-16,1.451250,1.483440,1.426720,1.431410,0.892438,4960000
2016-11-17,1.437500,1.457970,1.410780,1.433750,0.893897,5049600
2016-11-18,1.449840,1.461090,1.419060,1.457810,0.908897,6745600
2016-11-21,1.459220,1.499220,1.453120,1.499220,0.934715,3084800
2016-11-22,1.498120,1.508750,1.477970,1.508120,0.940264,6950400
2016-11-23,1.507660,1.538590,1.479690,1.537340,0.958481,7212800
2016-11-24,1.518910,1.531250,1.518910,1.521880,0.948843,646400
2016-11-25,1.524840,1.531250,1.492190,1.521880,0.948843,4332800
2016-11-28,1.520470,1.560940,1.520470,1.534530,0.956729,6592000
2016-11-29,1.532500,1.609220,1.527970,1.580470,0.985372,6726400
2016-11-30,1.595310,1.625000,1.590310,1.625000,1.013135,8345600
2016-12-01,1.609380,1.623280,1.570310,1.570310,0.979037,6016000
2016-12-02,1.566560,1.567500,1.508910,1.546880,0.964429,7686400
2016-12-05,1.565620,1.568590,1.518910,1.528130,0.952739,3859200
2016-12-06,1.516560,1.592970,1.509370,1.592970,0.993165,8166400
2016-12-07,1.600780,1.607810,1.580630,1.599220,0.997062,5529600
2016-12-08,1.597190,1.685470,1.597190,1.646720,1.026676,7936000
2016-12-09,1.648440,1.675780,1.621250,1.659370,1.034563,4505600
2016-12-12,1.654690,1.659370,1.615780,1.617340,1.008359,4550400
2016-12-13,1.609530,1.665160,1.609380,1.645310,1.025797,7360000
2016-12-14,1.642500,1.687030,1.609530,1.609530,1.003489,7155200
2016-12-15,1.619220,1.670310,1.617190,1.658590,1.034077,8486400
2016-12-16,1.665620,1.687500,1.635160,1.671880,1.042363,5152000
2016-12-19,1.663910,1.674840,1.637500,1.637500,1.020928,4294400
2016-12-20,1.656090,1.656090,1.589220,1.621090,1.010697,3513600
2016-12-21,1.662810,1.662810,1.662810,1.662810,1.036708,6931200
2016-12-22,1.671720,1.674840,1.645310,1.652340,1.030180,1689600
2016-12-23,1.642340,1.665620,1.642340,1.653130,1.030673,1388800
2016-12-26,1.646560,1.659060,1.646410,1.656250,1.032618,704000
2016-12-27,1.656250,1.659370,1.631250,1.639060,1.021901,1363200
2016-12-28,1.640620,1.661250,1.625000,1.658280,1.033884,2009600
2016-12-29,1.671720,1.671720,1.626410,1.658910,1.034276,2067200
2017-01-02,1.641090,1.647810,1.589220,1.589220,0.990827,4006400
2017-01-03,1.601410,1.629370,1.562500,1.584380,0.987809,3206400
2017-01-04,1.578120,1.585160,1.485940,1.500000,0.935201,6867200
2017-01-05,1.507190,1.551560,1.507030,1.551560,0.967347,6905600
2017-01-06,1.551560,1.560310,1.531250,1.541560,0.961112,1600000
2017-01-09,1.541720,1.546880,1.471410,1.471410,0.917376,7462400
2017-01-10,1.478120,1.531250,1.476720,1.506410,0.939198,4992000
2017-01-11,1.499530,1.535940,1.499530,1.523440,0.949815,7187200
2017-01-12,1.543750,1.632660,1.540160,1.625000,1.013135,10304000
2017-01-13,1.624840,1.670000,1.612500,1.656250,1.032618,5792000
2017-01-16,1.650470,1.650470,1.613590,1.623590,1.012255,4761600
2017-01-17,1.625000,1.660310,1.613280,1.656250,1.032618,4761600
2017-01-18,1.656250,1.671720,1.653910,1.664840,1.037974,2604800
2017-01-19,1.664840,1.681250,1.650940,1.678130,1.046259,3840000
2017-01-20,1.661880,1.875000,1.661880,1.873440,1.168029,18700800
2017-01-23,1.873440,1.972340,1.815780,1.953120,1.217707,6924800
2017-01-24,1.953120,2.038130,1.918750,2.038130,1.270708,8627200
2017-01-26,2.045160,2.057810,1.968280,1.992500,1.242259,6630400
2017-01-27,1.976870,2.004690,1.891720,1.942030,1.210793,3302400
2017-01-30,1.952190,1.968590,1.815780,1.821870,1.135877,2451200
2017-01-31,1.840160,1.999840,1.840160,1.999840,1.246835,4915200
2017-02-01,2.015620,2.031250,1.882190,1.984380,1.237196,7027200
2017-02-02,1.983440,1.991090,1.937810,1.984380,1.237196,9075200
2017-02-03,1.976560,2.003750,1.957030,1.984380,1.237196,2688000
2017-02-06,1.967810,2.171720,1.967810,2.171720,1.353997,6220800
2017-02-07,2.187660,2.222500,2.171880,2.187500,1.363835,3558400
2017-02-08,2.201090,2.218750,2.132810,2.140620,1.334607,5126400
